Item Name	Qty	Price (total) (USD)	Item link	Notes
Jumper Wires	1	$3.99	https://www.amazon.com/gp/product/B0BRTHR2RL/ref=ox_sc_act_title_1?smid=A2XLLJ8HYD6SMA&th=1	
Power Supply 5v 5a	1	$14.99	https://www.amazon.com/gp/product/B0BD72BWBK/ref=ox_sc_act_title_2?smid=A9KTYJEE803VO&psc=1	
MAX4466 Microphone	1	$8.29	https://www.amazon.com/gp/product/B07DRGF8C2/ref=ox_sc_act_title_3?smid=A30QSGOJR8LMXA&psc=1	
MPU6050	1	$6.99	https://www.amazon.com/gp/product/B01DK83ZYQ/ref=ox_sc_act_title_4?smid=A30QSGOJR8LMXA&th=1	
Led matrix WS2812B	2	$8.39	https://www.amazon.com/gp/product/B0GY4YWJGF/ref=ox_sc_act_title_5?smid=AKYDFEKF3PUKD&psc=1	
ESP32 DevKit	1	$9.99	https://www.amazon.com/gp/product/B0718T232Z/ref=ox_sc_act_title_6?smid=A30QSGOJR8LMXA&th=1	
				
				
				
				
				
				
				
				
				
				
				
				
				
Total Price (USD):	$61.3			
				
				
